#
# Engine name: 15kN Ethalox
# Tue 6. Oct 10:01:18 2020
#
# Lc= 189.42695 mm	 Rc=  65.76221 mm
# R1=  37.28367 mm	 R2= 134.02304 mm
# bc=  30.00000   	 Rt=  24.85578 mm
# Le= 169.91768 mm	 Re=  69.98170 mm
# Rn=   9.49491 mm
# c1=  22.97051   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
   89.47681	   64.70466
   89.83616	   64.65875
   90.19550	   64.61186
   90.55485	   64.56398
   90.91419	   64.51511
   91.27353	   64.46525
   91.63288	   64.41439
   91.99222	   64.36254
   92.35157	   64.30970
   92.71091	   64.25586
   93.07026	   64.20103
   93.42960	   64.14520
   93.78895	   64.08837
   94.14829	   64.03054
   94.50764	   63.97170
   94.86698	   63.91187
   95.22633	   63.85102
   95.58567	   63.78918
   95.94502	   63.72632
   96.30436	   63.66246
   96.66370	   63.59759
   97.02305	   63.53170
   97.38239	   63.46480
   97.74174	   63.39689
   98.10108	   63.32796
   98.46043	   63.25801
   98.81977	   63.18705
   99.17912	   63.11506
   99.53846	   63.04205
   99.89781	   62.96801
  100.25715	   62.89295
  100.61650	   62.81686
  100.97584	   62.73974
  101.33518	   62.66159
  101.69453	   62.58240
  102.05387	   62.50218
  102.41322	   62.42092
  102.77256	   62.33862
  103.13191	   62.25529
  103.49125	   62.17090
  103.85060	   62.08548
  104.20994	   61.99900
  104.56929	   61.91148
  104.92863	   61.82290
  105.28798	   61.73327
  105.64732	   61.64259
  106.00666	   61.55084
  106.36601	   61.45804
  106.72535	   61.36417
  107.08470	   61.26924
  107.44404	   61.17325
  107.80339	   61.07618
  108.16273	   60.97804
  108.52208	   60.87882
  108.88142	   60.77853
  109.24077	   60.67716
  109.60011	   60.57471
  109.95946	   60.47117
  110.31880	   60.36654
  110.67814	   60.26083
  111.03749	   60.15402
  111.39683	   60.04612
  111.75618	   59.93712
  112.11552	   59.82702
  112.47487	   59.71581
  112.83421	   59.60350
  113.19356	   59.49008
  113.55290	   59.37555
  113.91225	   59.25990
  114.27159	   59.14313
  114.63094	   59.02524
  114.99028	   58.90622
  115.34962	   58.78608
  115.70897	   58.66481
  116.06831	   58.54240
  116.42766	   58.41886
  116.78700	   58.29417
  117.14635	   58.16834
  117.50569	   58.04136
  117.86504	   57.91323
  118.22438	   57.78395
  118.58373	   57.65351
  118.94307	   57.52190
  119.30242	   57.38913
  119.66176	   57.25519
  120.02111	   57.12008
  120.38045	   56.98379
  120.73979	   56.84633
  121.09914	   56.70767
  121.45848	   56.56783
  121.81783	   56.42679
  122.17717	   56.28456
  122.53652	   56.14113
  122.89586	   55.99650
  123.25521	   55.85065
  123.61455	   55.70359
  123.97390	   55.55532
  124.33324	   55.40582
  124.69259	   55.25509
  125.05193	   55.10314
  125.41127	   54.94995
  125.77062	   54.79552
  126.12996	   54.63984
  126.48931	   54.48292
  126.84865	   54.32474
  127.20800	   54.16530
  127.56734	   54.00460
  127.92669	   53.84262
  128.28603	   53.67938
  128.64538	   53.51485
  129.00472	   53.34904
  129.36407	   53.18195
  129.72341	   53.01355
  130.08275	   52.84386
  130.44210	   52.67286
  130.80144	   52.50055
  131.16079	   52.32692
  131.52013	   52.15197
  131.87948	   51.97569
  132.23882	   51.79807
  132.59817	   51.61912
  132.95751	   51.43882
  133.31686	   51.25716
  133.67620	   51.07415
  134.03555	   50.88978
  134.39489	   50.70403
  134.75423	   50.51690
  135.11358	   50.32839
  135.47292	   50.13849
  135.83227	   49.94719
  136.19161	   49.75449
  136.55096	   49.56038
  136.91030	   49.36485
  137.26965	   49.16789
  137.62899	   48.96950
  137.98834	   48.76967
  138.34768	   48.56840
  138.70703	   48.36567
  139.06637	   48.16148
  139.42571	   47.95581
  139.78506	   47.74873
  140.14440	   47.54126
  140.50375	   47.33380
  140.86309	   47.12633
  141.22244	   46.91886
  141.58178	   46.71139
  141.94113	   46.50393
  142.30047	   46.29646
  142.65982	   46.08899
  143.01916	   45.88152
  143.37851	   45.67406
  143.73785	   45.46659
  144.09720	   45.25912
  144.45654	   45.05165
  144.81588	   44.84418
  145.17523	   44.63672
  145.53457	   44.42925
  145.89392	   44.22178
  146.25326	   44.01431
  146.61261	   43.80685
  146.97195	   43.59938
  147.33130	   43.39191
  147.69064	   43.18444
  148.04999	   42.97698
  148.40933	   42.76951
  148.76868	   42.56204
  149.12802	   42.35457
  149.48736	   42.14710
  149.84671	   41.93964
  150.20605	   41.73217
  150.56540	   41.52470
  150.92474	   41.31723
  151.28409	   41.10977
  151.64343	   40.90230
  152.00278	   40.69483
  152.36212	   40.48736
  152.72147	   40.27989
  153.08081	   40.07243
  153.44016	   39.86496
  153.79950	   39.65749
  154.15884	   39.45002
  154.51819	   39.24256
  154.87753	   39.03509
  155.23688	   38.82762
  155.59622	   38.62015
  155.95557	   38.41269
  156.31491	   38.20522
  156.67426	   37.99775
  157.03360	   37.79028
  157.39295	   37.58281
  157.75229	   37.37535
  158.11164	   37.16788
  158.47098	   36.96041
  158.83032	   36.75294
  159.18967	   36.54548
  159.54901	   36.33801
  159.90836	   36.13054
  160.26770	   35.92307
  160.62705	   35.71561
  160.98639	   35.50814
  161.34574	   35.30067
  161.70508	   35.09320
  162.06443	   34.88573
  162.42377	   34.67827
  162.78312	   34.47080
  163.14246	   34.26333
  163.50180	   34.05586
  163.86115	   33.84840
  164.22049	   33.64093
  164.57984	   33.43346
  164.93918	   33.22599
  165.29853	   33.01852
  165.65787	   32.81106
  166.01722	   32.60359
  166.37656	   32.39612
  166.73591	   32.18865
  167.09525	   31.98119
  167.45460	   31.77372
  167.81394	   31.56625
  168.17328	   31.35878
  168.53263	   31.15132
  168.89197	   30.94385
  169.25132	   30.73638
  169.61066	   30.52891
  169.97001	   30.32144
  170.32935	   30.11398
  170.68870	   29.90651
  171.04804	   29.70046
  171.40739	   29.49948
  171.76673	   29.30366
  172.12608	   29.11292
  172.48542	   28.92715
  172.84477	   28.74629
  173.20411	   28.57024
  173.56345	   28.39894
  173.92280	   28.23232
  174.28214	   28.07030
  174.64149	   27.91282
  175.00083	   27.75981
  175.36018	   27.61123
  175.71952	   27.46700
  176.07887	   27.32708
  176.43821	   27.19142
  176.79756	   27.05996
  177.15690	   26.93266
  177.51625	   26.80947
  177.87559	   26.69036
  178.23493	   26.57527
  178.59428	   26.46417
  178.95362	   26.35703
  179.31297	   26.25380
  179.67231	   26.15446
  180.03166	   26.05897
  180.39100	   25.96731
  180.75035	   25.87943
  181.10969	   25.79533
  181.46904	   25.71496
  181.82838	   25.63830
  182.18773	   25.56534
  182.54707	   25.49604
  182.90641	   25.43039
  183.26576	   25.36838
  183.62510	   25.30997
  183.98445	   25.25515
  184.34379	   25.20392
  184.70314	   25.15624
  185.06248	   25.11211
  185.42183	   25.07152
  185.78117	   25.03446
  186.14052	   25.00090
  186.49986	   24.97086
  186.85921	   24.94430
  187.21855	   24.92124
  187.57789	   24.90166
  187.93724	   24.88555
  188.29658	   24.87292
  188.65593	   24.86375
  189.01527	   24.85805
  189.37462	   24.85581
  189.42695	   24.85578
  189.78629	   24.86258
  190.14564	   24.88302
  190.50498	   24.91718
  190.86433	   24.96521
  191.22367	   25.02732
  191.58302	   25.10381
  191.94236	   25.19503
  192.30171	   25.30143
  192.66105	   25.42354
  193.02039	   25.56203
  193.37974	   25.71329
  193.73908	   25.86528
  194.09843	   26.01689
  194.45777	   26.16826
  194.81712	   26.31928
  195.17646	   26.47002
  195.53581	   26.62046
  195.89515	   26.77056
  196.25450	   26.92043
  196.61384	   27.06990
  196.97319	   27.21920
  197.33253	   27.36804
  197.69187	   27.51676
  198.05122	   27.66498
  198.41056	   27.81314
  198.76991	   27.96073
  199.12925	   28.10832
  199.48860	   28.25529
  199.84794	   28.40226
  200.20729	   28.54867
  200.56663	   28.69502
  200.92598	   28.84086
  201.28532	   28.98659
