x_coordinate,y_coordinate,P_c,T_wall_inner,T_coolant,P_coolant
0.0,0.06507246000000001,4978435.753601239,897.017000839453,425.6090229515645,6787514.923331211
0.00450199,0.06507246000000001,4978435.753601239,897.6175134408945,424.3236483303973,6791055.412137628
0.00900397,0.06507246000000001,4978435.753601239,898.2383189342095,423.0324511401143,6794588.907155928
0.01350596,0.06507246000000001,4978435.753601239,898.8799553980707,421.7353321867476,6798115.549902987
0.01800794,0.06507246000000001,4978435.753601239,899.5429605281365,420.4322040563461,6801635.449850776
0.02250993,0.06507246000000001,4978435.753601239,900.2278616339886,419.1229679902984,6805148.747132692
0.02701192,0.06507246000000001,4978435.753601239,900.9351795710336,417.8075341418175,6808655.557922199
0.0315139,0.06507246000000001,4978435.753601239,901.6654335363237,416.48581291730767,6812155.998020544
0.03601589,0.06507246000000001,4978435.753601239,902.4191314596774,415.1577060702414,6815650.206183526
0.04051788,0.06507246000000001,4978435.753601239,903.1967743199289,413.8231243451194,6819138.297595141
0.04501986,0.06507246000000001,4978435.753601239,903.9988613900869,412.4819787026318,6822620.387313066
0.04952185,0.06507246000000001,4978435.753601239,904.8258777847332,411.134171286241,6826096.613468487
0.054023829999999995,0.06507246000000001,4978435.753601239,905.67830854872,409.77961635665116,6829567.083276606
0.058525820000000006,0.06507246000000001,4978435.753601239,906.556625690469,408.4182162755054,6833031.934829341
0.06302781,0.06507246000000001,4978435.753601239,907.4612932247064,407.0498825788278,6836491.283215142
0.06752979,0.06507246000000001,4978435.753601239,908.3927732451157,405.67452699630013,6839945.243746739
0.07203178,0.06507246000000001,4978435.753601239,909.3515135993816,404.29205219370675,6843393.95496836
0.07653377,0.06507246000000001,4978435.753601239,910.337953413668,402.9023701525296,6846837.532720301
0.08103574999999999,0.06507246000000001,4978435.753601239,911.3525297030396,401.5053930586417,6850276.09324705
0.08553774,0.06507246000000001,4978435.753601239,912.3957083885643,400.101023903339,6853709.7760999175
0.09003972,0.06507246000000001,4978435.753601239,913.468185757109,398.68917835065884,6857138.690887364
0.09454171,0.06507246000000001,4978435.753601239,914.5707077214556,397.26975991757627,6860562.978778105
0.0990437,0.06507246000000001,4978435.753601239,915.7040034337433,395.84268201769845,6863982.75939853
0.10354568,0.06507246000000001,4978435.753601239,916.8687926786497,394.4078586229356,6867398.153764468
0.10804767,0.06507246000000001,4978435.753601239,918.0657701265195,392.96519461962276,6870809.307032498
0.11254966000000001,0.06507246000000001,4978435.753601239,919.2956126080958,391.51460500582436,6874216.34305969
0.11705164000000001,0.06507246000000001,4978435.753601239,920.5589863915998,390.0560054077344,6877619.387235754
0.12155363,0.06507246000000001,4978435.753601239,921.856527813587,388.5893022821727,6881018.589150422
0.12605561,0.06507246000000001,4978435.753601239,923.1888651537552,387.11441573372673,6884414.069774165
0.1305576,0.06507246000000001,4978435.753601239,924.556598066813,385.6312534110226,6887805.981868892
0.13505958999999998,0.06507246000000001,4978435.753601239,925.9603053657711,384.13973349321475,6891194.457238034
0.13956157,0.06507246000000001,4978435.753601239,927.4005542200421,382.63977495639574,6894579.629409637
0.14406356,0.06507246000000001,4978435.753601239,928.8778808556522,381.1312875071009,6897961.656181907
0.14856555,0.06507246000000001,4978435.753601239,930.4347227844978,379.61419167320446,6901340.674559566
0.15306753,0.06506104,4978420.52100443,932.0201186132795,378.0878883709042,6904716.833272511
0.15756952000000002,0.06492442,4978237.239171366,934.2009909235776,376.5523221786161,6908093.048070973
0.16207149999999998,0.06463289,4977839.56327634,937.1248208630441,375.0053998785902,6911486.875382571
0.16657349,0.06418543,4977211.277791015,940.8272368895314,373.4448845075356,6914919.578944321
0.17107548,0.06358042,4976325.796547196,945.3613048150942,371.868427471028,6918413.599203281
0.17557746,0.06281564,4975143.755208322,950.7993365987145,370.27351435332207,6921993.330703493
0.18007945,0.061888240000000004,4973609.172937092,957.2360653027604,368.6574045471596,6925686.042438784
0.18458143999999999,0.060794640000000004,4971643.439073246,964.7933893421355,367.0170894002715,6929522.96350132
0.18908342,0.05953052,4969136.26508916,604.2390961056005,365.3492149705654,6933540.768219685
0.19358540999999999,0.05809068,4965931.310391629,626.5502599917284,364.6819001589284,6937784.930828017
0.19808739,0.05646893,4961803.353628885,647.2626206010445,363.94939204764324,6942309.783833531
0.20258938,0.054657960000000005,4956420.806949623,667.0469419319579,363.1558086137586,6947183.902273293
0.20709137000000002,0.05264911,4949281.706977508,686.5137103014322,362.30346144525885,6952495.912645121
0.21159334999999999,0.050432160000000004,4939600.393981285,706.267827141396,361.3930370220569,6958363.461764973
0.21609534,0.04799501,4926095.980784586,726.9592774765014,360.4236368528269,6964947.431192956
0.22059733,0.04540056,4907224.24377758,749.0707595270716,359.40041984582115,6972419.229135871
0.22509931,0.04280134,4881730.51169048,771.1169849958611,358.33827923287384,6980914.086797501
0.2296013,0.04020211,4846572.522332771,796.4229784930824,357.2357782669274,6990660.57424672
0.23410328000000002,0.03760289,4796757.2289427575,823.9541057065654,356.0941263822102,7002002.511143375
0.23860526999999998,0.03500367,4723708.933212508,854.2256243320526,354.91232431360146,7015401.094826501
0.24310726,0.03240444,4611494.893650854,887.930766557728,353.6888649713898,7031518.4571140725
0.24760924,0.029805599999999998,4426551.080493278,925.9214922699819,352.42169239308953,7051340.046287404
0.25211123,0.02761804,4152048.5010714578,964.3123279878789,351.1565322977521,7075471.842538115
0.25661322000000003,0.02611814,3808297.725922333,998.029240604839,349.91340874194515,7104104.790620129
0.2611152,0.02522213,3402574.976945342,1025.8828569680607,348.67019157902905,7136977.319266152
